" But cart has some errors."," [fuzzy] Tapi keranjang ada beberapa error."
" Note: Image size affects the performance of your app."," Note: Image size affects the performance of your app."
"""Description"" is more than %d characters long","""Description"" is more than %d characters long"
"""Title"" is more than %d characters long","""Title"" is more than %d characters long"
"""id"" attribute is required for a ""%s"" field.","""id"" attribute is required for a ""%s"" field."
"""line_count"" attribute is required for ""multiline"" element.","""line_count"" attribute is required for ""multiline"" element."
"""message"" attribute is required for ""%s"" validator rule.","""message"" attribute is required for ""%s"" validator rule."
"%1$s has been added to your wishlist.","%1$s Telah di tambahkan dalam wishlist Anda."
"%1$s incl tax.","%1$s termasuk pajak."
"%@ is not correct","%@ is not correct"
"%s API Key required.","%s dibutuhkan API Key."
"%s Application ID required.","%s ID aplikasi dibutuhkan."
"%s Secret Key required.","%s dibutuhkan Secret Key."
"%s attribute is required.","%s attribute is required."
"%s fields is required","%s fields is required"
"%s has been added to your cart.","%s telah ditambahkan pada keranjang Anda."
"%s id:","%s id:"
"%s was updated in your shopping cart.","%s diperbarui pada cart Anda."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)"
"* - field is required","* - field is required"
"*Subject to change","*Subjek untuk dirubah"
"1. Please select type of the action:","1. Please select type of the action:"
"10:40 AM","10:40 AM"
"2. Please select a page","2. Please select a page"
"2. Type Category Name","2. Type Category Name"
"2. Type Product Name","2. Type Product Name"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urban Airship.","<a href=""%s"" target=""_blank"">Login</a> to Urban Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Sebuah Katalog Hanya Aplikasi tidak akan mendukung fungsi seperti tambahkan ke keranjang, menambah daftar harapan, atau login."
"A new password has been sent.","Kata sandi baru telah dikirim"
"About","About"
"Access forbidden","Access forbidden"
"Account","Akun"
"Account Information","Informasi akun"
"Account Settings","Account Settings"
"Account confirmation is required. Please check your email for the confirmation link.","Account confirmation is required. Please check your email for the confirmation link."
"Account information has been saved.","Informasi akun telah disimpan."
"Action","Aksi"
"Action type does\'t recognized","Action type does\'t recognized"
"Action type does\'t recognized.","Action type does\'t recognized."
"Action type doesn\'t recognized.","Action type doesn\'t recognized."
"Activate","Aktivasi"
"Activate PayPal Checkout","Aktivasi PayPal Checkout"
"Activate PayPal MECL","Activate PayPal MECL"
"Activation Key","Kunci aktivasi"
"Add","Tambah"
"Add Action","Add Action"
"Add Address from Contacts","Add Address from Contacts"
"Add App","Tambah App"
"Add Custom","Add Custom"
"Add New Address","Tambahkan alamat baru"
"Add New Template","Tambah Template Baru"
"Add Page","Tambah halaman"
"Add To Wishlist","Add To Wishlist"
"Add a billing address","Add a billing address"
"Add a shipping address","Add a shipping address"
"Add to Cart","Tambah ke keranjang"
"Add to Wishlist","Tambah ke wishlist"
"Adding Product to Cart...","Adding Product to Cart..."
"Adding Product to WishList...","Adding Product to WishList..."
"Additional Address","Alamat tambahan"
"Additional Info","Additional Info"
"Address","Alamat"
"Address 2","Alamat 2"
"Address Book","Buku alamat"
"Address Book Updated","Address Book Updated"
"Address Info","Address Info"
"Address book is empty","Address book is empty"
"Address data not specified.","Data alamat tidak ditentukan"
"Address does not belong to this customer.","Bukan data Alamat pelanggan ini"
"Address has been deleted.","Alamat telah dihapus"
