"# of Use","# Terpakai"
"%1$s incl tax.","%1$s termasuk pajak."
"%s - %s","%s - %s"
"%s Item(s)","%s Item"
"%s and above","%s and above"
"(%d)","(%d)"
"(Copy data from: %s)","(Menyalin data dari: %s)"
"* Required Fields","* Kolom harus diisi"
"-- Please Select --","-- Silakan pilih --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 secara standar, jika tidak diatur. Untuk penyegaran instan, Bersihkan Output Tembolok Blok HTML."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Peringatan!</strong> Penerapan MAP secara standar akan menyembunyikan semua harga produk di tampilan depan."
"A group with the same name already exists.","Kelompok dengan nama sama sudah ada."
"A name is required","Sebuah nama diperlukan"
"A product type is not defined for the indexer.","Tipe produk tidak didefinisikan untuk pengindeks."
"ALL GROUPS","SEMUA GRUP"
"AM","AM"
"Action","Aksi"
"Actual Price","Harga Sebenarnya"
"Add","Tambah"
"Add Attribute","Tambah Atribut"
"Add Design Change","Tambah Perubahan Desain"
"Add Group","Tambah Kelompok"
"Add Group Price","Tambah Kelompok Harga"
"Add New","Tambah Baru"
"Add New Attribute","Tambah Atribut Baru"
"Add New Attribute Set","Tambah Set Atribut Baru"
"Add New Group","Tambah Grup Baru"
"Add New Images","Tambah Gambar Baru"
"Add New Option","Tambah Opsi Baru"
"Add New Row","Tambahkan baris baru"
"Add New Search Term","Tambah Istilah Pencarian Baru"
"Add New Set","Tambah Set Baru"
"Add Product","Tambah Produk"
"Add Product To Websites","Tambah Produk ke situs"
"Add Root Category","Tambah Pangkal Kategori"
"Add Subcategory","Tambah Subkategori"
"Add Tax","Tambah Pajak"
"Add Tier","Tambah Tingkatan"
"Add attribute into attribute set","Tambah Atribut kedalam set atribut "
"Add group into attribute set","Tambah grup kedalam set atribut "
"Add new custom option into product","Add new custom option into product"
"Add new values into custom option","Add new values into custom option"
"Add option","Tambah Opsi"
"Add to Cart","Tambah ke keranjang"
"Add to Compare","Tambah untuk membandingkan"
"Add to Wishlist","Tambah ke wishlist"
"Additional Information","Informasi Tambahan"
"Alert Urls","Tanda Urls"
"All","Semua"
"All Product Types","Semua jenis produk"
