" Copy"," Copy"
"Action","Aksi"
"Add New Template","Tambah Template Baru"
"Add to Queue","Tambah ke Antrian"
"Allow Guest Subscription","Izinkan Tamu Berlangganan"
"An error occurred while saving your subscription.","Galat terjadi ketika menyimpan langganan Anda."
"Are you sure that you want to delete this template?","Apakah anda yakin ingin menghapus template ini?"
"Are you sure that you want to strip all tags?","Apakah Anda yakin bahwa Anda ingin memotong semua tag?"
"Back","Kembali"
"Cancel","Batal"
"Cancelled","Dibatalkan"
"Cannot mark as received subscriber.","Tidak dapat menandai sebagai penerima langganan."
"Confirmation Email Sender","Konfirmasi Surel Pengirim"
"Confirmation Email Template","Konfirmasi Templat Surel"
"Confirmation request has been sent.","Permintaan konfirmasi telah dikirim."
"Convert to Plain Text","Konversi ke Teks Biasa "
"Create Newsletter Template","Buat Templat Buletin"
"Customer","Pelanggan"
"Customer First Name","Nama Awal Pelanggan"
"Customer Last Name","Nama Akhir Pelanggan"
"Customer My Account Newsletter Subscriptions","Pelanggan My Account berlangganan buletin"
"Date Added","Tanggal Ditambahkan"
"Date Updated","Tanggal Diperbarui"
"Delete","Hapus"
"Delete Selected Problems","Hapus Masalah yang dipilih"
"Delete Template","Hapus template"
"Do you really want to cancel the queue?","Apakah Anda benar-benar ingin membatalkan antrian?"
"Duplicate template code.","Duplikasi kode templat."
"Edit Newsletter","Sunting Buletin"
"Edit Newsletter Template","Sunting template buletin"
"Edit Queue","Sunting antrian"
"Edit Template","Sunting template"
"Email","Surel"
"Enter your email address","Masukan alamat surel anda"
"Error Code","Kode Galat"
"Error Text","Teks Galat"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Tamu"
"ID","ID"
"Invalid queue selected.","Antrian yang dipilih tidak valid."
"Invalid subscription ID.","ID berlangganan tidak valid."
"Invalid subscription confirmation code.","Kode konfirmasi berlangganan tidak valid."
