"Credit Card Type","Jenis kartu kredit"
"Add New User","Tambah Pengguna baru"
"Items that you don","Items that you don"
"State/Province","Negara/Provinsi"
"Magento Commerce - Administrative Panel","Magento Commerce - Panel Administrasi"
"3 stars","3 bintang"
"Credit Memo Date","Credit Memo Date"
"Double click on a group to rename it","Dobel klik on dalam grup untuk menamai ulang"
"Rating Not Available","Rating Not Available"
"Gift Certificate","Gift Certificate"
"Assigned Answers","Jawaban yang Diberikan"
"Fax","Fax"
"Magento Admin","Admin Magento"
"Newsletter Message Preview","Tinjau Pesan Buletin"
"4 stars","4 bintang"
"Company","Perusahaan"
"Invoice Date","Tanggal Faktur"
"Qty Returned","Jumlah Pengembalian"
"Add New Customer Group","Tambah Grup Pelanggan Baru"
"Visitors","Pengunjung"
"Shipping Method","Metode Pengiriman"
"Subtotal","Subtotal"
"5 stars","5 bintang"
"Choose Store","Pilih Toko"
"Import Tax Rates","Impor Biaya Pajak"
"Roles","Peran"
"If you do not specify an option value for a store then the default value will be used.","If you do not specify an option value for a store then the default value will be used."
"Shipping","Pengiriman"
"Select from existing customer addresses:","Pilih dari alamat pelanggan yang ada:"
"Products","Produk"
"Edit User ","Sunting Pengguna "
"Item Status","Status Barang"
"Set as default billing address","Set as default billing address"
"Position","Posisi"
"Items Ordered","Barang dipesan"
"Fixed","Tetap"
"%s","%s"
"Same as Billing Address","Same as Billing Address"
"Product In Stores","Product In Stores"
"Working...","Working..."
"Apply coupon code","Apply coupon code"
"per page","Per Halaman"
"Tax","Tax"
"Telephone","Telepon"
"Wishlist","Wishlist"
"Magento","Magento"
"Expiration Date","Tanggal Kadaluarsa"
"Add New Class","Tambah Kelas Baru"
"Super product attributes configuration","Ubah konfigurasi atribut"
"Previus page","Previus page"
"Something went wrong...","Something went wrong..."
"Lifetime Sales","Penjualan Sepanjang masa"
"SKU","SKU"
"Log Out","Keluar"
"Failed","Gagal"
"Billing Address","Alamat Tagihan"
"Log into Magento Admin Page","Masuk ke Halaman Admin Magento"
"Invoice Status","Invoice Status"
"CC Type","CC Type"
"Percentage","Persentasi"
"Are you sure?","Apakah anda yakin?"
"Email","Surel"
"Customer Group:","Grup Pelanggan:"
"Option","Option"
"Primary Billing Address","Primary Billing Address"
"Create Backup","Buat backup"
"Manage Options (values for your attribute)","Manage Options (values for your attribute)"
"Total Due","Total Terhutang"
"Copyright 2007","Copyright 2007"
"Newsletter Subscribers","Pelanggan Buletin"
"CC Number","CC Number"
"Add New Tax Rate","Tambah Tarif Pajak"
"Product Name","Nama Produk"
"Country","Negara"
"Purchase order number","Purchase order number"
"Date and Time","Date and Time"
"Categories","Kategori"
"Qty Cancelled","Qty Cancelled"
"Card Verification Number","Nomor verifikasi kartu"
"Order Date","Tanggal Pesanan"
"This tab contains invalid data. Please correct before saving.","This tab contains invalid data. Please correct before saving."
"Customer Balance","Customer Balance"
"Update Qty","Update Qty"
"Customer Groups","Grup Pelanggan"
"Export to","Export to"
"configuration","configuration"
"Sorry, no quotes are available for this order at this time.","Maaf, tidak ada harga yang tersedia untuk pesanan ini saat ini "."
"Options","Opsi"
"Attribute Name","Attribute Name"
"Total <strong>%d</strong> records found","Total <strong>%d</strong> records found"
"Comment","Komentar"
"Set as default shipping address","Set as default shipping address"
"Last Name","Nama akhir"
"of","of"
"Newsletter Problem Reports","Laporan Masalah Buletin"
"Sales Statistics","Statistik penjualan"
"Qty To Return","Qty To Return"
"New Customer Address","Alamat Pelanggan Baru"
"Roles Resources","Sumber daya Role"
"Zip/Post Code","Zip/Kode pos"
"Order Status","Status Pesanan"
"Store","Toko"
"Product Categories","Kategori Produk"
"Online Customers","Pelanggan Online"
"Next page","Halaman berikut nya"
"Items Shipped","Barang terkirim"
"Unassigned Attributes","Atribut yang tidak ditugaskan"
"Not Charged Yet","Not Charged Yet"
"This group contains system attributes.\nPlease, move system attributes to another group and try again.","This group contains system attributes.\nPlease, move system attributes to another group and try again."
"copy data from","copy data from"
"Add","Tambah"
"Total Payed","Total Payed"
"Shopping Cart","Cart belanja"
"Order History","sejarah Pesanan"
"Empty","Kosong"
"Unable to complete request. Please, try again later.","Unable to complete request. Please, try again later."
"Customers","Pelanggan"
"Customer does not have any addresses","Customer does not have any addresses"
"Add New Role","Tambah Peran Baru"
"Street Address","Alamat Jalan"
"Are You Sure?","Are You Sure?"
"Shipping Address","Alamat Pengiriman"
"Paid","Terbayar"
"Page","Halaman"
"Discount","Diskon"
