"Add","Tambah"
"Add New Row","Tambahkan baris baru"
"Add links and samples to downloadable product","Add links and samples to downloadable product"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'."
"An error occurred while getting the requested content.","Error terjadi ketika mendapatkan konten yang diminta. "
"An error occurred while getting the requested content. Please contact the store owner.","Error terjadi ketika mendapatkan konten yang diminta.  Please contact the store owner."
"An error occurred while saving the file(s).","Error terjadi ketika menyimpan file."
"Availability:","Ketersediaan:"
"Back","Kembali"
"Canceled","Dibatalkan"
"Cannot connect to remote host, error: %s.","Tidak dapat terhubung ke remote host, error: %s."
"Catalog Product View (Downloadable)","Tampilan Katalog Produk (Dapat diDownload)"
"Category API","Kategori API"
"Customer My Account Downloadable Items","Pelanggan My Account Item dapat diDownload"
"Date","Tanggal"
"Default Link Title","Judul tautan standar"
"Default Maximum Number of Downloads","Jumlah maksimum standar unduhan"
"Default Sample Title","Contoh Judul Standar"
"Delete","Hapus"
"Disable Guest Checkout if Cart Contains Downloadable Items","Tidak dapat Checkout tamu jika keranjang mengandung item yang dapat didownload"
"Downloadable Information","Informasi yang dapat diunduh"
"Downloadable Product","Produk yang dapat diunduh"
"Downloadable Product Options","Pilihan produk yang dapat diunduh"
"Downloadable Product Section","Downloadable Product Section"
"Edit","Sunting"
"Edit item parameters","Parameter penyuntingan barang"
"Excl. Tax","Excl. Tax"
"File","file"
"From:","Dari:"
"Gift Message","Pesan Hadiah"
"Go to <a href=""%s"">My Downloadable Products</a>","Go to <a href=""%s"">My Downloadable Products</a>"
"Guest checkout will only work with shareable.","Checkout Tamu hanya akan bekerja pada yang dapat dibagikan"
"In stock","Stok ada"
"Incl. Tax","Incl. Tax"
"Invalid download URL host.","download URL host tidak valid."
"Invalid download URL scheme.","download URL scheme tidak valid."
"Invalid download link type.","download tipe link tidak valid."
"Invoiced","Ada Faktur nya"
"Links can be purchased separately","Tautan dapat dibeli secara terpisah"
"List","Daftar"
"Max. Downloads","Max. Unduh"
"Message:","Pesan:"
"Move","Pindah"
"My Downloadable Products","Produk Unduhan"
"Open Links in New Window","Buka tautan di jendela baru"
"Order #","Pesanan #"
"Order Item Status to Enable Downloads","Status Produk pesanan dapat diunduh"
"Order id cannot be null","Id pesanan tidak bisa batal"
"Order item id cannot be null","Id barang pesanan tidak dapat batal"
"Ordered","diorder"
"Out of stock","Habis"
"Pending","Tunda"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Please log in to download your product or purchase <a href=""%s"">%s</a>."
"Please log in to download your product.","Silakan masuk untuk mengunduh produk anda"
"Please set resource file and link type.","Silakan set resource file dan link type."
"Please specify product link(s).","Silakan tentukan tautan produk,"
"Price","Harga"
"Product downloadable links","Product downloadable links"
"Qty","Kuantitas"
"Refunded","Refunded"
"Remaining Downloads","Sisa unduhan"
"Remove","Menghapus"
"Remove Item","Barang dibuang"
"Remove links and samples from downloadable product","Remove links and samples from downloadable product"
"Requested link does not exist.","Link yang diminta tidak ada."
"Retrieve links and samples list from downloadable product","Retrieve links and samples list from downloadable product"
"Sample","Sample"
"See price before order confirmation.","LIhat harga sebelum konfirmasi pesanan."
"Shareable","Dapat dibagi"
"Shipped","Shipped"
"Sorry, there was an error getting requested content. Please contact the store owner.","Sorry, there was an error getting requested content. Please contact the store owner."
"Sort Order","Urutan sortir"
"Start Download","Mulai unduh"
"Status","Status"
"The file does not exist.","File tidak ada."
"The link has expired.","Link telah kadaluarsa."
"The link is not available.","Link tidak tersedia."
"There are files that were selected but not uploaded yet. Please upload or remove them first","There are files that were selected but not uploaded yet. Please upload or remove them first"
"Title","Judul"
"To:","Ke:"
"U","U"
"Unlimited","Tidak terbatas"
"Use Content-Disposition","Gunakan Disposisi-konten"
"Use Default Value","Gunakan nilai standar"
"View Order","Lihat pesanan"
"What's this?","Apa ini?"
"You have not purchased any downloadable products yet.","Anda belum pernah membeli Produk Unduhan."
"attachment","Lampiran"
"download","Unduh"
"inline","Sejajar"
"sample","Contoh"
